Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
"Edivelton da Rosa, Geral, Tubarão, Unisul TV",Unisul Universidade,2016-12-08,"O curso de Conservação e Restauro da Unisul está trabalhando neste ano, além das obras de Willy Zumblick, também em peças que ficavam na Casa da Cidadania",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Unisul 50 Anos, Cultura, Artes, Unisul",Unisul Universidade,2014-11-14,['A primeira turma do curso de preservação e conservação de bens culturais da Unisul teve uma grande missão- restaurar nos quatro meses do curso importantes obras do artista plástico Willy Zumblick'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-11-26,"Em São Paulo, uma capela construída próxima a Avenida Paulista foi restaurada depois de ficar 20 anos fechada. E ela carrega muita história. Veja na reportagem de Aline Imercio e Adalberto Medrado.TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação. Assine nosso conteúdo pelo Telegram.Siga o Canção Nova Notícias no instagram.✅ Inscreva-se no nosso Canal.✅ Acesse a Loja Canção Nova. Faça seu cadastro agora e seja bem-vindo à Família Canção Nova. Faça sua doação por boleto e cartão de crédito para a Canção Nova no linke ajude-nos a levar a evangelização através dos meios de comunicação. Confira as contas para depósito bancário no link",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-12-07,"A Diocese de Paris, na França, vai apresentar mais uma parte do projeto de restauração do interior da Catedral de Notre-Dame. O padre Éder Pires, de Toulon, têm as informações.TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação. Assine nosso conteúdo pelo Telegram. Siga o Canção Nova Notícias no instagram.✅ Inscreva-se no nosso Canal.✅ Acesse a Loja Canção Nova. Faça seu cadastro agora e seja bem-vindo à Família Canção Nova. Faça sua doação por boleto e cartão de crédito para a Canção Nova no link  e ajude-nos a levar a evangelização através dos meios de comunicação. Confira as contas para depósito bancário no link",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-11-16,"Você já teve a chance de ver como se faz a restauração de uma obra de arte  Numa exposição em Belo Horizonte, o público pode acompanhar de perto a restauração de peças sacras de Aleijadinho. O artista mineiro é um dos nomes mais conhecidos do barroco e do rococó, e deixou um legado de obras importantes em várias partes do Brasil. Reportagem de Gabriele Dutra. Imagens de Valdo de Jesus. A exposição vai até o dia 30 de novembro. Além das visitas agendadas, o público poderá acompanhar pela internet como foi todo o processo de restauração e os aspectos da vida e obra de Aleijadinho.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-08-27,"Na sede da Canção Nova, no interior de São Paulo, o espaço dedicado à Mãe Rainha Três Vezes Admirável de Schöenstatt passa por uma restauração. Tudo para acolher melhor os peregrinos que aos poucos voltam a este lugar de oração. TV Canção Nova AO VIVO acompanhe e compartilhe nossa programação. Assine nosso conteúdo pelo Telegram  Siga o Canção Nova Notícias no instagram  ✅ Inscreva-se no nosso Canal  Acesse a Loja Canção Nova  Faça seu cadastro agora e seja bem-vindo à Família Canção Nova  >Faça sua doação por boleto e cartão de crédito para a Canção Nova no link  e ajude-nos a levar a evangelização através dos meios de comunicação. Confira as contas para depósito bancário no link",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
,Stellantis South America,2021-11-10,"A Casa Fiat de Cultura, em comemoração aos seus 15 anos de história, tem um convite especial para você vivenciar os bastidores do restauro de três obras do grande artista do barroco mineiro em “Aleijadinho, arte revelada o legado de um restauro”. 👨🏼‍🎨 Neste vídeo, que faz parte da websérie com o making of das etapas do restauro, você pode acompanhar uma viagem pelas igrejas de Minas e entender a importância dessas imagens nas comunidades.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"TV Brasil, EBC, TV Pública",TV Brasil,2022-06-28,"Em Maceió (AL), o Presidente Jair Bolsonaro participa da Cerimônia de Entrega das Obras de Restauração da Igreja do Bom Jesus dos Martírios.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, noticias, capelasistina, Vaticano, museusdoVaticano, tapeçarias, Renascimento",TV Canção Nova,2020-02-19,"O Vaticano abriu uma exceção para uma breve exposição da obra do renascentista Rafael na Capela Sistina, que até então conta com obras de Michelângelo. Pela primeira vez em séculos, todas as 12 tapeçarias projetadas pelo artista foram penduradas nas paredes inferiores da capela, como parte das comemorações que marcam os 500 anos da morte de Rafael.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil",TV Canção Nova,2020-01-14,"A Basílica Santuário de Nazaré, em Belém do Pará, vai ser restaurada. Construída, há mais de 100 anos, a igreja é um dos ícones do Círio de Nazaré, a maior expressão de fé do povo paraense. Reportagem de Juliana Brito e Fábio Nascimento.",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
